,name,sku,price
0,"Bumper Support Tube,Front,190mm, 1959 356A Only",644-505-161-01,49.99
1,"Gland Nut Screen,Master Brake Reservoir Screen,Porsche Pre-A,356A,356B",356-42-412,24.99
2,"Support Bracket For Emergency Cable, Right, Porsche 356A & 356B ",356-42-182,14.99
3,"Support Bracket For Emergency Cable,Left, Porsche 356A & 356B ",356-42-181,14.99
4,"ATE Brake Master Cylinder W/Metal Tank & Gland Nut Screen, NOS, 356A & 356B",356-42-020ATE,199.99
5,"Brake Reservoir Complete, ATE  Aluminum Tank OEM, Porsche Pre-A, 356A & 356B",356-42-091,79.99
6," Brake Reservoir ATE German,Master Brake Cylinder, 356A & 356B ",356-42-091OE,19.99
7,"ATE Brake Reservoir Tank Kit OEM, Porsche 356A & 356B",356-42-091ATE,101.99
8,"Axle Boot Solid W/Clamps & Screws, Porsche 356A, 356B, 356C",644-34-191-00,12.99
9,"Barrel Bolt & Nut Complete, 'Large Hex Head', Complete ",644-211-755-00,11.99
10,"Barrel Bolt & Nut Complete, 'Small Nubhead', Complete ",644-211-755-01,11.99
11,"Barrel Nut Kit, Heater Cable,6 Piece Kit, Porsche 356, 356A, 356B, 356C ",644-211-755-06,55.99
12,"Bearing Pin, Brake Drum Lever, Complete Bolt, 356A & 356B '50-'59",356-42-207,12.60
13,"Brake Hose Kit, Porsche Pre-A & 356A Front & Rear,DOT & SAE Approved",BHK356A,59.99
14,"Bulb Socket,Double Filament BA15d bulbs,Porsche 356,911,912",999-631-990-00,9.99
15,"Bumper Support Tube, Set Rear, Left & Right  Fits 356, 356A",644-505-261-262,49.99
16,"Bumper Support Tube,Set,Front,155mm,356A up to '58",644-505-161-00,49.99
17,"Butterfly Lever & Barrel Screw and Nut Kit, Porsche 356A, 356B, 356C ",644-211-760-65,79.99
18,"Butterfly Lever, Heater Flap Box Control Unit, Each, Pre-A, 356A, 356B, 356C ",644-211-760-01,24.99
19,"Butterfly Lever, Heater Flap Box Control Unit, Pair, 356A, 356B, 356C ",644-211-760-00,54.99
20,"Ceramic Fuse, 16 Amp, German Made, Porsche 356, 911, 912, 914",900-173-004-90,0.25
21,"Ceramic Fuse, 25Amp, German Made, Porsche 356, 911, 912, 914",999-607-005-00,0.35
22,"Ceramic Fuse, 5 Amp, German  Made, Porsche 356, 911, 912, 914",900-173-001-90,0.50
23,"Ceramic Fuse, 8 Amp, German Made, Porsche 356, 911, 912, 914",900-173-002-90,0.35
24,"Clamp Stabilizer Bar, Pair, Porsche 356A, 356B, 356C ",644-41-605,44.99
25,"Exhaust Muffler ,Porsche 356A '55-'59, OEM Dansk",616-111-010-00,447.99
26,"FAG Wheel Bearing Ball-Type,Rear Outer,356 & 356A,NOS German ",900-053-006-00,159.99
27,"FAG Wheel Bearing Set, Front & Rear, 356 & 356A, NOS ",900-053-056-00,639.99
28,"FAG Wheel Bearing,Ball-Type,Front Outer,Pre-A & 356A,NOS German ",900-053-005-00,159.99
29,"Festoon Bulb 6 Volt / 5 Watt,Interior Light,German,Porsche 356A, 356B ",900-631-005-90,1.75
30,"Fuse Inline holder,W/ 8Amp Fuse, German, Porsche 356,911,912 ",644-612-813-01,4.99
31,"Headlight Bulb Euro Headlights,12 Volt  45/40W,German,Porsche 356A & 356B ",900-631-109-90,7.99
32,"Headlight Bulb Euro Headlights,6 Volt  45/40W,German,Porsche 356A & 356B ",900-631-009-90,7.99
33,"Heater Hose, Porsche 356A, 356B & 356C , Pair, 3 Ply, German",644-211-921-05,19.99
34,Hexagon Nut Steering Wheel  Porsche 356A '55-'59,356-47-201,44.99
35,"Light Bulb 12 Volt/ 2 Watt,German,Porsche 356A, 356B,356C",695-631-019-90,2.50
36,"Light Bulb 12 Volt/18W,Porsche 356 Turn Signals & Stop Light,German",900-631-107-90,3.35
37,"Light Bulb 6V-0,6 Watt Instrument Dash Bulb,Porsche 356,German",900-631-001-90,3.95
38,"Light Bulb, Halogen H1, 12Volt- 100 Watt, Porsche 356, 911, 912, 914",900-631-500-90,7.99
