,name,sku,price
0,VW Spark Plug Wire Separator Kits, 00-8747,$4.99
1,Stainless Steel VW Generator Cover, 00-9036,$7.59
2,Stainless Steel VW Coil Cover Kit, 00-9064,$5.49
3,Billet Aluminum VW Distributor Cover, 16-9545,$52.99
4,VW Chrome Cal Look Zoom Tube, 00-3360,$69.99
5,VW Cheese Grater Exhaust Tips, 95-3050,$21.99
6,Stainless Steel Clamshell VW Exhaust Tip Covers, 00-3363,$55.99
7,VW Beetle Tail Pipe Kits, 00-9915,$21.99
8,Finned VW Backing Plate Covers, 00-8848,$13.99
9,VW Chrome Dress Up Kit, 00-8740,$21.99
10,VW Deluxe Chrome Dress Up Kit, 00-8741,$33.99
11,Super Chrome Deluxe VW Engine Dress Up Kit, 00-8742,$78.99
12,Super Chrome and Color Deluxe VW Engine Dress Up Kit, 00-8653,$105.99
13,VW Engine Trim Kit, 00-8743,$39.99
14,Empi Finned VW Alt/Gen Pulley Covers, 00-8925,$3.99
15,VW Bus Wood Slat Roof Rack, 15-2011,$425.95
16,Empi VW Bus Side Scoops, 00-4212,$39.95
17,VW Bus Side Step, 15-2028,$179.95
18,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
19,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
20,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
21,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
22,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
23,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
24,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
25,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
26,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
27,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
28,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
29,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
30,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
31,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
32,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
33,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
34,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
35,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
36,VW Type 1 Bug Dual Circuit Reservoir, 17-2878,$11.19
37,VW Type 1 Dual Circuit Master Cylinders, 16-9554,$34.99
38,Varga VW Type 1 Bug And Type 2 Bus Wheel Cylinders, 98-6014-B,$19.99
39,Empi VW Bug And Bus Wheel Cylinders, 98-6214-B,$10.39
40,Brake Fluid Reservoirs VW Late Type 2 Bus, 98-1690,$21.99
41,VW Bus Type 2 Dual Circuit Brake Reservoir, 98-1694,$19.99
