,name,price,sku
0,"""EMPI Gtv"" Emblem Each",18.99,00-6456-0
1,#3 > 1/8 Npt Steel,7.99,EAR961603ERL
2,#4 > 1/8 Npt Steel,5.99,EAR961604ERL
3,"009 CAST STEEL Distributor, Pointless Ignition System",175.99,00-9472-B
4,"009 Condenser, For 009 & EMPI Distributors, Each",12.99,16-9434-0
5,"009 Distributor Water Proof Kit, Black, 2 Pieces",8.54,00-9315-0
6,"009 Distributor, Chrome, Points Style, For Type 1 VW",77.99,0231178009C
7,"009 Distributor, Pertronix Vacuum Style With Electronic Ign",142.49,D186504
8,"009 Distributor, Pertronix With Electronic Ignition",139.64,D186604
9,"009 Distributor, Points Style For Type 1 VW",56.99,0231178009
10,"009 Distributor, Vacuum Advance, Chrome For Type 1 VW",102.99,00-9440-B
11,"009 Distributor, With Electronic Ignition Module, For Type 1",106.99,A1016
12,009 Electronic Ignition Module Fits 009 & 050 VW distributor,39.99,A1021
13,"009 Sva All In One Distributor, With Electronic Ignition",126.99,00-9437-B
14,"009 Tune Up Kit, Cap, Rotor, Points & Condensor For 009 Dist",55.99,A3399
15,"1 Hole Gauge Panel, Black For 2-1/16",17.09,14-1009-0
16,"1 Hole Gauge Panel, Black For 3-1/8",8.54,14-1005-0
17,"1 Hole Gauge Panel, Chrome For 2-1/16",15.19,14-1014-0
18,"1 Hole Gauge Panel, Chrome For 3-1/8",12.34,14-1006-0
19,"1 Piece Window Kit, Glue In Style, For Beetle 58-64",228.99,00-9760-0
20,"1 Piece Window Kit, Glue In Style, For Beetle 65-76",232.99,00-9763-0
21,"1 Piece Window Kit, Snap In Style, For Beetle 58-64",236.99,00-9780-0
22,"1 Piece Window Kit, Snap In Style, For Beetle 65-76",214.99,00-9783-0
23,"1"" Tube Radius, 1/4"" Hole",11.99,FAB-3092
24,"1-1/2 Fuel Pressure Gauge, Cockpit Royale",41.99,V1-5300-3
25,"1-1/2"" Tube Radius Shock Mount",5.99,FAB-3078
26,"1-1/2"" Tube Radius, 5/16"" Hole",4.99,FAB-3095
27,"1-1/2"" Tube Radius, 5/16"" Hole",14.99,FAB-3096
28,"1-1/4"" Tube Radius, 5/16"" Hole",11.99,FAB-3093
29,"1.5 OHM 40,000 VOLT COIL",31.61,40011x
30,"1/2"" Left Hand Jam Nut",8.00,FAB-4014
31,1/8 NPT TO -3 STEEL FITTING,12.99,961603
32,1/8 Pipe To 3/16 Brake Line 45 Degree Fitting,10.99,892-45
33,1/8 Pipe To 3/16 Brake Line 90 Degree Adapter Fitting,13.99,892
34,1/8 Pipe To 3/16 Brake Line Adapter Fitting,10.99,891
35,"1/8"" Npt X 10mm Brake Line Adapter Fitting",3.99,896
36,"10"" Chrome Fuel Tank Bracket, Sold Each",20.99,TKBKT10
37,"10"" Fuel Tank Strap, Black, Sold Each",16.99,00-3537-0
38,"10"" Stainless Fuel Tank Bracket, Sold Each",25.64,TKBKT10S
39,"10mm Head Stud Set, 12.7mm Longer Then Stock, Chromoly",69.34,4564-12
40,"10mm Head Stud Set, Stock Length, Chromoly",53.99,4564-11
41,"10mm Metric Bubble Tee, Brake Line Fitting",27.99,883
42,10MM x 1.0  Banjo Bolt,12.99,EAR977517ERL
43,"10mm X 1.0 Bubble To 1/8 Pipe, Brake Line Adapter Fitting",4.99,884
44,"12 Volt Blue Coil, .6 Ohm Economy Version",38.94,00012ME
45,"12 Volt Bosch Coil, 3 Ohm Resisted",97.99,00012
46,"12"" Chrome Fuel Tank Bracket, Sold Each",14.35,TKBK12C
47,"12"" Limiting Straps, Double Woven, Pair",29.99,17-2890-0
48,"12mm Stud Kit, For Aluminum Rims, Does 2 Wheels",34.99,A1018
49,"12mm To 7/16"" Wheel Studs",11.99,00-9483-0
50,14 Inch Convex Rear View Mirror,25.99,AC857852-14
51,"14 Inch Limiting Straps, Double Woven, Pair",32.99,17-2891-0
52,"14mm 1.5 Thread Lug Nut, With Ball Seat, Porsche Style, Each",3.99,70-2860-7
53,14mm Lug Bolt W/17mm Head,17.09,70-2863-0
54,"14mm Porsche Style Nuts, Set Of 5",15.99,6546
55,14mm Stud,2.99,A1150
56,"14mm Stud Extra Long, 2-7/8",2.99,WHL011EL
57,"14mm Stud Kit, For Aluminum Rims, Does 2 Rims",29.99,A1017
58,"15 5/8"" Axles 28 Spline Pair For 930 CV Joints",244.99,16-2203-0
59,"15 5/8"" Axles 33 Spline Pair, Fits VW Type 1 & 2 CV Joints",244.99,16-2202-0
60,"15 X 10"" Steel Rim, Series 21, 4 On 130mm, 2"" Backspacing",179.99,21-5130
61,"15 X 10"" Steel Rim, Series 81, 5 On 205mm, 3.5"" Backspacing",126.97,81-5119
62,"15 X 12"" Aluminum Beadlock Rim, 5 On 205mm, 2"" Backspacing",464.54,155-42
63,"15 X 12"" Aluminum Rim, 4 On 130mm, 2"" Backspacing",252.69,156-03
64,"15 X 4"" Forged Aluminum Rims, 5 On 205mm, 1-3/4"" Backspacing",398.99,00-9761-2
65,"15 X 5"" Steel Rim, Series 21, 4 On 130mm, 2.5"" Backspacing",137.99,21-5530
66,"15 X 5"" Steel Rim, Series 81, 5 On 205mm, 2-1/2"" Backspacing",142.99,81-5519
67,"15 X 5.5"" Aluminum Beadlock RiM, 5 On 205mm, 2"" Backspacing",473.99,155-41
68,"15 X 6"" Steel Rim, Series 21, 4 On 130mm, 3-3/4"" Backspacing",148.99,21-5630
69,"15 X 6"" Steel Rim, Series 27, 4 On 130mm, 3-3/4"" Backspacing",193.99,27-5630
70,"15 X 6"" Steel Rim, Series 81, 5 On 205mm, 3-3/4"" Backspacing",148.99,81-5619
71,"15 X 7"" Steel Rim, Series 21, 4 On 130mm 3-1/2"" Backspacing",153.99,21-5730
72,"15 X 7"" Steel Rim, Series 27, 4 On 130mm, 3-1/2"" Backspacing",194.99,27-5730
73,"15 X 7"" Steel Rim, Series 81, 5 On 205mm, 3-1/2"" Backspacing",156.99,81-5716
74,"15 X 8"" Steel Rim, Series 21, 4 On 130mm, 2"" Backspacing",159.99,21-5830
75,"15 X 8"" Steel Rim, Series 27, 4 On 130mm, 2"" Backspacing",201.99,27-5830
76,"15 X 8"" Steel Rim, Series 81, 5 On 205mm, 3"" Backspacing",166.99,81-5819
77,"15-5/8"" Axle Assembly, Type 2 Bus CV Joints",557.99,A1034
78,"16 1/4"" Axles 28 Spline Pair For 930 CV Joints",244.99,16-2200-0
79,"16 3/4"" Axles 28 Spline Pair For 930 CV Joints",244.99,16-2209-0
80,"16 3/4"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",244.99,16-2208-0
81,"16 Pass Oil Cooler Kit, With Electric Fan",331.99,00-9290-0
82,"16"" Limiting Straps, Double Woven, Pair",30.99,17-2892-0
83,"16-1/4"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",244.99,6571
84,"160 Mph Speedo Mech. 3 3/4""",175.99,ATM2694
85,16in #3 Line -3 Str/-3 Str,17.99,ALL46300-16
86,"17 1/2"" Axles 28 Spline Pair For 930 CV Joints",264.99,16-2225-0
87,"17 1/2"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",264.99,16-2224-0
88,"17"" Convex Rear View Mirror",27.99,AC857852-17
89,"18 3/4"" Axles 28 Spline Pair For 930 CV Joints",244.99,16-2205-0
90,"18 3/4"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",244.99,6572
91,"18"" Limiting Straps, Double Woven, Pair",31.99,17-2893-0
92,"18-3/4"" Axle Assembly, 930 Cv Joints",549.99,A1028
93,"18-3/4"" Axle Assembly, Type 2 Bus CV Joints",505.40,A1031
94,"180mm Clutch Disc, Rigid, For Beetle 46-66 & Bus 50-62",22.99,111-141-031E
95,"180mm Clutch Kit, For Beetle 46-66, Bus 50-62",81.99,A4004
96,"180mm Clutch Kit, For Beetle 46-66, Bus 50-62, Premium",178.99,A4004P
97,"180mm Pressure Plate, Fits Beetle & Ghia 46-66 Bus 50-66",38.99,211-141-025D
98,"19 1/4"" Axles 28 Spline, Pair For 930 CV Joints",244.99,16-2207-0
99,"19 1/4"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",244.99,16-2206-0
100,"19-1/4"" Axle Assembly, 930 Cv Joints",597.99,A1029
101,"19-1/4"" Axle Assembly, Type 2 Bus CV Joints",558.99,A1030
102,1:1 Performance Rocker Kit,199.99,17-2954-0
103,"2 1/2"" Drop Spindles, For Ball Joint 5 Bolt Disc Brakes",264.99,22-2955-0
104,"2 1/2"" Drop Spindles, For Ball Joint Disc Brake Applications",148.99,22-2951-0
105,"2 1/2"" Drop Spindles, For Ball Joint Drum Brake Applications",138.99,22-2859-0
106,"2 1/2"" Drop Spindles, For King Pin 4 Bolt Disc Brakes",147.99,22-2950-0
107,"2 1/2"" Drop Spindles, For King Pin Disc Brake Applications",264.99,22-2954-0
108,"2 1/2"" Drop Spindles, For King Pin Drum Brake Applications",137.99,22-2858-0
109,"2 1/4"" Velocity Stacks, For IdF WEBER & HPMX Carbs, Pr",26.99,AC129200
110,2 Gauge Panel A/M OP/WT Liquid,369.99,ALL80120
111,2 Gauge Panel A/M OP/WT Sport-,303.99,ALL80110
112,2 Gauge Panel A/M OP/WT Ultra-,244.99,ALL80115
113,"2 Hole Gauge Panel, Black For 2-1/16",8.54,14-1007-0
114,"2 Hole Gauge Panel, Black For 2-1/16",26.59,14-1010-0
115,"2 Hole Gauge Panel, Chrome For 2-1/16",7.12,14-1008-0
116,"2 Hole Gauge Panel, Chrome For 2-1/16",28.49,14-1012-0
117,"2 Hole Gauge, 1 Tach Hole PaneL, For 3-1/8 & 2-1/16",12.99,14-1003-0
118,"2 Hole Gauge, 1 Tach Hole PaneL, For 3-1/8 & 2-1/16, Chrome",14.24,14-1004-0
119,"2 Hollow Spindle, Left",50.99,AC405024L
120,"2 Hollow Spindle, Right",59.99,AC405024R
121,"2 Piece Engine Deck Lid Grill, For All Aircooled Beetles",42.74,00-6425-0
122,"2 Piston Brake Pad Set, For Gray Area Brake Kits",104.99,GAT1225
123,"2 Tip Exhaust System, For Type VW Engines, Raw",179.99,00-3418-0
124,"2 Tip Exhaust, For Type 1 VW Engines, Ceramic Coated",363.99,55-3418-0
125,"2 Tip Gt Exhaust, For 40Hp 1200cc VW Engines, Raw",182.99,00-3766-0
126,"2 Tip Gt Exhaust, For Type 1 VW Engines, Raw Steel",149.99,00-3417-0
127,"2 Tip Gt Exhaust, For Type 1 VW Engines, Stainless Steel",331.99,00-3761-0
128,"2 Tip Gt Exhaust, For Type 2 & 411 Engines, Raw",213.99,00-3483-0
129,"2"" Heim Joint Extension",4.99,CB3396
130,"2"" Hollow Front Brake Kit",988.99,GAT1207-2
131,"2"" Hollow Front Brake Kit",1197.99,GAT1207-2W
132,"2"" Hollow Front Brake Kit",988.99,GAT1207-4
133,"2"" Hollow Front Brake Kit, With 4 Piston Caliper, Weld On",1199.99,GAT1207-2B
134,"2"" Hollow Front Disc Brake Kit, 5 On 205mm, 4 Piston",840.99,AC498030
135,"2"" Hollow Spindle Bearing",24.99,AC621133
136,"2"" Hollow Spindle Nut, Right",15.00,AC405024-NR
137,"2"" Narrowed Ball Joint Beam, With Adjusters",386.99,22-2819-0
138,"2"" Narrowed King Pin Beam, With Adjusters",386.99,22-2818-0
139,"2"" Oil Pressure Temperature",141.99,ATM2609
140,2-1/16 Boost Gauge Mechanical,118.99,ATM2401
141,"2-1/16 Boost Gauge, Cockpit Series 0-30 PSI",58.99,V1-5005-2
142,"2-1/16 Boost Gauge, Cockpit White Series 0-25 PSI",99.99,V1-5020-6
143,"2-1/16 Fuel Gauge, Cockpit Royale Series, 10-180 OHM",47.99,V3-0173-3
144,"2-1/16 Fuel Gauge, Cockpit Series, 10-180 Ohm",38.99,V3-0101-5
145,"2-1/16 Fuel Gauge, Cockpit Series, 73-10 OHM",50.34,V3-0102-0
146,"2-1/16 Fuel Gauge, Cockpit White Series, 10-180 OHM",56.99,V3-0121-6
147,2-1/16 Gauge Mounting Cup,59.99,V2-4010-1
148,"2-1/16 Hour Gauge, Cockpit Series",61.74,V3-3195-3
149,"2-1/16 Oil Pressure Gauge, Cock Pit Series, 0-150 PSI",53.19,V3-5004-1
150,"2-1/16 Oil Pressure Gauge, Cockpit Royale Series, 0-80 PSI",63.99,V3-5070-2
151,"2-1/16 Oil Pressure Gauge, Cockpit Series, 0-100 PSI",59.99,V1-5003-0
152,"2-1/16 Oil Pressure Gauge, Cockpit Series, 0-80 PSI",55.99,V3-5004-0
153,"2-1/16 Oil Pressure Gauge, Cockpit White Series, 0-80 PSI",59.47,V3-5024-0
154,"2-1/16 Oil Temp Gauge, Cockpit Royale Series 120-300 Degrees",70.99,V3-1070-9
155,"2-1/16 Oil Temp Gauge, Cockpit Series, 120-300 Degrees",49.99,V3-1001-2
156,"2-1/16 Pyrometer Kit, Cockpit Series, 1600 Degrees",233.99,V3-1095-3
157,"2-1/16 Tach, Cockpit Series, 8000 RPM",139.99,V3-3395-9
158,"2-1/16 Voltmeter Gauge, Cockpit Series 8-16 V",43.99,V3-3204-1
159,"2-1/16 Voltmeter Gauge, Cockpit White Series, 8-16V",69.34,V3-3224-1
160,"2-1/16 Water Temp Gauge, Cockpit Royale Series, 250 Degrees",48.99,V3-1071-0
161,"2-1/16 Water Temp Gauge, Cockpit Series, 250 Degrees",42.99,V3-1003-9
162,"2-1/16 Water Temp Gauge, Cockpit White Series, 250 Degrees",49.39,V3-1023-9
163,"2-1/16"" 2-Hole Aluminum Panel",32.99,ATM2237
164,"2-1/16"" Oil Press Mech 0-100",107.99,ATM2421
165,"2-1/16"" Oil Press Mech 0-200",109.99,ATM2422
166,"2-1/16"" Sport-Comp, Boost Gauge 35 PSI",116.99,ATM3304
167,"2-1/16"" Sport-Comp, Boost Pressure Gauge 30 PSI",122.99,ATM3303
168,"2-1/16"" Sport-Comp, Boost Pressure Gauge, 20 PSI",122.99,ATM3301
169,"2-1/16"" Sport-Comp, Nitrous Pressure Gauge, 2000 PSI",159.99,ATM3328
170,"2-5/8"" Oil Temp Liquid",125.99,ATM5447
171,"2-5/8"" Oil Temp Liquid Filled",200.99,ATM5443
172,"2-5/8"" Phatom Water Temp Gaug",123.99,ATM5837
173,"2-5/8"" Pro-Comp",122.99,ATM5437
174,"2-5/8"" Pro-Comp Boost Gauge, Liquid Filled",148.99,ATM5401
175,"2-5/8"" Pro-Comp Liquid",146.99,ATM5411
176,"2-5/8"" Pro-Comp Liquid",148.99,ATM5412
177,"2-5/8"" Pro-Comp Liquid",139.99,ATM5421
178,"2-5/8"" Pro-Comp Liquid",143.99,ATM5422
179,"2-5/8"" Pro-Comp Liquid",146.99,ATM5423
180,"2-5/8"" Pro-Comp Liquid",151.99,ATM5424
181,"2-5/8"" Pro-Comp Liquid",139.99,ATM5427
182,"2-5/8"" Pro-Comp Liquid",125.99,ATM5457
183,"2-5/8"" Pro-Comp Volt",110.99,ATM5492
184,"2-5/8"" Pro-Comp, Blowe Pressure Gauge, Liquid Filled",207.99,ATM5403
185,"2-5/8"" Pro-Comp, Blower Pressure Gauge, Liquid Filled",146.99,ATM5402
186,"2-5/8"" Pro-Comp, Boost Pressure Gauge, Liquid Filled",146.99,ATM5404
187,"2-5/8"" Trans Temp Liquid",195.99,ATM5451
188,"2-5/8"" Vacuum Liquid Filled",139.99,ATM5484
189,"2-5/8"" Voltmeter 10-16 Volt",65.99,ATM2319
190,"2-5/8"" Water Temp Liquid",188.99,ATM5431
191,"2-5/8"" Water Temp Liquid",190.99,ATM5432
192,"2-5/8"" Water Temp Liquid",200.99,ATM5433
193,"2-7/8"" Velocity Stacks, For 48IDA, 48 EPC, 51 EPC Carbs, PR",31.34,43-6052-0
194,"2.0 Cylinder Head, For Bus Type 2 76-78",526.99,98-5206-B
195,"2.0 Cylinder Head, For Bus Type 2 79-83",526.99,98-5213-B
196,"20 1/4"" Axles 28 Spline Pair For 930 CV Joints",244.99,16-2211-0
197,"20 1/4"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",244.99,16-2210-0
198,"20"" Limiting Straps, Double Woven, Pair",31.99,17-2894-0
199,"20-1/4"" Axle Assembly, 930 Cv Joints",639.99,A1033
200,"20-1/4"" Axle Assembly, Type 2 Bus CV Joints",596.99,A1035
201,"200mm Clutch Disc, 4 Puck For Racing Applications",63.99,AC141001
202,"200mm Clutch Disc, 6 Puck, Sprung",84.99,AC141005
203,"200mm Clutch Disc, Cushion Grip, For Beetle",31.34,4097-10
204,"200mm Clutch Disc, Daiken Brand, Semi Metallic",41.99,B503
205,"200mm Clutch Disc, Daiken Brand, Semi Metallic Metel Woven",81.69,B503A
206,"200mm Clutch Disc, Kush Lock, For Beetle",34.99,AC141003
207,"200mm Clutch Disc, Pro Grip Metal Woven For Beetle",30.99,4085-10
208,"200mm Clutch Disc, Rigid, For Beetle 67-79 Bus 63-71",32.99,311-141-031BBR
209,"200mm Clutch Disc, Rigid, For Beetle 67-79 Bus 63-71 Prem",50.99,311-141-031BBRP
210,"200mm Clutch Disc, Sprung, For Beetle 67-79 Bus 63-71",25.99,311-141-031DBR
211,"200mm Clutch Disc, Sprung, For Beetle 67-79 Bus 63-71 Prem",125.39,311-141-031DBRP
212,"200mm Flywheel, 4 Dowel, Fits Type 1 1300-1600cc & Up",88.99,311-105-273A
213,"200mm Flywheel, Lightened Chromoly, 8 Dowel, Fits Type 1 VW",204.99,00-4099-0
214,"200mm Flywheel, Lightened Chromoly, 8 Dowel, Fits Type 1 VW",182.99,60007
215,"200mm Flywheel, Lightened, 8 Dowel, Fits Type 1 VW",91.99,98-1275-B
216,"200mm Irs Clutch Kit, For Beetle 71-79, Bus 71",101.99,A4001
217,"200mm Irs Clutch Kit, For Beetle 71-79, Bus 71, Premium",180.99,A4001P
218,"200mm Performance Clutch Kit, Fits Swing Axle Transmission",211.99,A4002
219,"200mm Performance Clutch Kit, For IRS Beetle 71-79, Bus 71",211.99,A4003
220,"200mm Pressure Plate, Fits Beetle 63-70 Bus 63-70 Swing Axle",54.99,311-141-025EBR
221,"200mm Pressure Plate, Fits Beetle 63-70 Bus 63-70 Swing Axle",128.99,311-141-025EBRP
222,"200mm Pressure Plate, Fits Beetle 71-79, Bus 71, IRS Trans",55.99,311-141-025C
223,"200mm Pressure Plate, Fits Beetle 71-79, Bus 71, IRS Trans",138.99,311-141-025CP
224,"200mm Swing Axle Clutch Kit, For Beetle 59-67, Bus 63-70",103.54,A4000
225,"200mm Swing Axle Clutch Kit, For Beetle 59-67, Bus 63-70",150.09,A4000-SPRUNG
226,"200mm Swing Axle Clutch Kit, For Beetle 67-70, Premium",181.99,A4000P
227,"21 3/8"" Axles 28 Spline Pair For 930 CV Joints",264.99,16-2213-0
228,"21 3/8"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",247.99,16-2212-0
229,"210mm Clutch Disc, For Bus Type 2 72-74 Rigid",185.24,211-141-031GFS
230,"210mm Clutch Disc, Sprung, For Type 2 Bus 72-73",225.99,32-1265-B
231,"210mm Pressure Plate, For Type 2 Bus 72-73",224.99,022-141-025G
232,"215mm Clutch Disc, Sprung, For Type 2 Bus 74-75",169.99,025-141-031
233,"215mm Pressure Plate, For Type 2 Bus 74-75",222.99,022-141-025A
234,"22"" Axle Assembly, 930 Cv Joints",641.99,16-2238-0
235,"22"" Axles 28 Spline Pair For 930 CV Joints",264.99,16-2215-0
236,"22"" Axles 33 Spline Pair Fits VW Type 1 & 2 CV Joints",264.99,16-2214-0
237,"22"" Limiting Straps, Double Woven, Pair",31.34,17-2895-0
238,"22"" Limiting Straps, Pair",15.99,AC510050-22
239,"228mm Clutch Disc, Sprung, For Type 2 Bus 76-79",117.79,025-141-031D
240,22in #3 Line -3 Str/-3 Str,19.99,ALL46300-22
241,"23"" Axle Assembly, 930 Cv Joints",641.99,16-2239-0
242,"23"" Axles 28 Spline Pair For 930 CV Joints",264.99,16-2217-0
243,"24"" Axles 28 Spline Pair For 930 CV Joints",264.99,16-2219-0
244,"24"" Limiting Straps, Double Woven, Pair",31.99,17-2896-0
245,"24mm X 21-3/4 Torsion Bars, Pair",151.99,AC501300-24
