,title,price,sku
0,6 PASS COOLER KIT  ITEM NO. 00-9234,$68.00,00-9234
1,"FULL FLOW FILTER PUMP, FOR DISH CAM ITEM NO. 00-9207",$77.00,00-9207
2,"FULL FLOW FILTER PUMP, FOR FLAT CAM  ITEM NO. 00-9206",$77.00,00-9206
3,"OIL FILTER ADAPTOR, PORTS RIGHT   ITEM NO. 00-9245",$14.00,00-9245
4,"OIL FILTER ADAPTOR, PORTS LEFT ITEM NO. 00-9244",$14.00,00-9244
5,CONNECTING ROD BEARING SET (1.00MM)  ITEM NO. 113105725,$16.00,113105725
6,DIPSTICK  ITEM NO. 113115611,$4.00,113115611
7,EXHAUST VALVE TYPE-4 ITEM NO. 022109612D,$10.00,022109612D
8,EXHAUST VALVE ITEM NO. 111109611A,$11.00,111109611A
9,INTAKE VALVE ITEM NO. 113109601D,$11.00,113109601D
10,"CASE SAVER, 14MM X 8MM ITEM NO. 4561-10",$2.00,4561-10
11,ENGINE GASKET SET TYPE-4 ITEM NO. 029198009A,$69.00,029198009A
12,INTAKE VALVE ITEM NO. 111109601A,$11.00,111109601A
13,INTAKE VALVE ITEM NO. 113109601B,$11.00,113109601B
14,"ENGINE TIN, TOP SINGLE PORT, CHROME  ITEM NO. 00-8878",$30.00,00-8878
15,CRANKSHAFT PULLEY ITEM NO. 113105251G,$26.00,113105251G
16,CONNECTING ROD BUSHING ITEM NO. 311105431A,$12.00,311105431A
17,"CYLINDER HEAD SPACERS, .040   ITEM NO. 21-7616",$10.00,21-7616
18,OIL COOLER TYPE-4 ITEM NO. 021117021B,$58.00,021117021B
19,"OIL PUMP COVER, FULL FLOW ITEM NO. 31-2942",$33.00,31-2942
20,EMPI CAM ITEM NO. 22-4120,$70.00,22-4120
21,"ALTERNATOR/GENERATOR PULLEY, OUTER HALF W/METAL INNER, BILLET ALUMINUM 12V ITEM NO. 33-1041",$38.00,33-1041
22,"OIL PUMP STUDS, EARLY, 6MM ITEM NO. 311115107K",$39.00,311115107K
23,"STARTER BUSHING, 6 TO 12 VOLT ITEM NO. 00-4028",$4.00,00-4028
24,"COUNTERWEIGHTED CRANKSHAFT, 69MM FORGED ITEM NO. 0024169VW",$235.00,0024169VW
25,"CRANKSHAFT, STROKER, 86MM ITEM NO. 0034386C",$265.00,0034386C
26,"OIL PUMP, EARLY, HEAVY DUTY  ITEM NO. 311115107KHD",$35.00,311115107KHD
27,"COUNTERWEIGHTED SHORT BLOCK KIT, 1915, COMPLETE  ITEM NO. 000240",$745.00,000240
28,"COUNTERWEIGHTED SHORT BLOCK KIT, 1700 COMPLETE ITEM NO. 000210",$749.00,000210
29,"ALUMINUM SUPER CASE, 90.5/92 ITEM NO. 00-00011",$899.00,00-00011
30,"COUNTERWEIGHTED SHORT BLOCK KIT, 1641, COMPLETE ITEM NO. 000200",$745.00,000200
31,"CAM, EMPI, 125 ITEM NO. 22-4125",$70.00,22-4125
32,ENGINE OIL LINE BYPASS ADAPTOR ITEM NO. 00-9203,$13.00,00-9203
33,"OIL SUMP W/DRAIN 1 1/2 QT W/CUTOUTS FOR SOCKET, ALUMINUM ITEM NO. AC115210B",$95.00,AC115210B
34,"ENGINE GASKET SET, 40HP ITEM NO. 111198005",$27.00,111198005
35,"PUSH ROD TUBE, 200MM ITEM NO. 113109335",$16.00,113109335
36,CRANK PULLEY PULLER ITEM NO. 00-5784,$35.00,00-5784
37,OIL FILLER NUT TOOL ITEM NO. 00-5761,$8.00,00-5761
38,"OIL SUMP, HIGH CAPACITY ITEM NO. 00-9142",$88.00,00-9142
39,"ALTERNATOR NUT AND SPACER, CHROME ITEM NO. 00-9119",$5.00,00-9119
40,"BOTTOM CHANNEL KIT, 3 PIECE CHROME ITEM NO. 00-8949",$35.00,00-8949
41,"BERU BRAND CONDENSOR, LONG WIRE, TYPE-4 ITEM NO. 00-8696",$8.00,00-8696
42,"DOGHOUSE, NO DUCTS, BLACK 36HP ITEM NO. 00-8672",$71.00,00-8672
43,"OIL SUMP PLATE, CHROME ITEM NO. 00-8911",$9.00,00-8911
44,"CYLINDER SHIM SET, 90.5/92, .040 ITEM NO. 21-7050",$9.00,21-7050
45,"PISTON RINGS, 94MM TYPE-4 ITEM NO. 029198175BR",$24.00,029198175BR
46,CONNECTING ROD ITEM NO. 311105401B,$89.00,311105401B
47,"PUSH ROD TUBE, 210MM ITEM NO. 311109335",$18.00,311109335
48,"CYLINDER SHIM SET, 90.5/92, .030 ITEM NO. 21-7040",$9.00,21-7040
49,ENGINE GASKET SET ITEM NO. 111198003A,$22.00,111198003A
50,"FAN SHROUD, RAM-AIRITEM NO. 00-8857",$69.00,00-8857
51,FLYWHEEL O RING ITEM NO. 311105295A,$2.00,311105295A
52,"REAR MAIN SEAL, SILICON, FLYWHEEL OIL SEAL ITEM NO. 113105245FS",$6.00,113105245FS
53,VALVE COVER GASKET ITEM NO. 113101481F,$1.00,113101481F
54,"HEAD, 2.0 FOR TYPE-4 ITEM NO. 039101061M",$509.00,039101061M
55,"CYLINDER COOLER TIN, BLACK ITEM NO. 00-8877",$16.00,00-8877
56,"CYLINDER TIN, DUAL PORT, BLACK ITEM NO. 00-8990",$29.00,00-8990
57,"FAN SHROUD,36HP, CHROME, NO DUCTS ITEM NO. 00-8882",$65.00,00-8882
58,"DOGHOUSE, WITH DUCTS, 36HP, CHROME ITEM NO. 00-8890",$86.00,00-8890
59,"DOGHOUSE WITH DUCTS, 36HP, BLACK ITEM NO. 00-8673",$79.00,00-8673
