,name,price,sku
0,"12"" & 13"" GT Steering Wheels",From $139.90 to $154.90,
1,"13"" & 14"" Steering Wheels Black & Chrome",From $89.90 to $139.50,
2,14mm Chrome Lug Nuts,$5.90,00-9519
3,14mm VW Style Lug Bolts,$9.50,70-2863
4,17mm Transaxle Allen Wrench,$11.90,00-5788
5,2 and 3 Spoke Wheel Knock Off's,$42.50,
6,2 Bolt Header Flange,$5.50,
7,2 Point Lap Belt with Chrome Latch Release,$29.95,
8,2 Point Lap Belt with push button release,From $22.50 to $24.50,
9,"2 Prong Flasher Relay, 12v",$12.95,111953227D
10,"2"" Narrowed Sway Bars",From $69.50 to $74.50,
11,3 Bar Horn Grill,$5.90,
12,3 Bolt Exhaust Flange,$4.75,
13,3 Spoke Oil Filler,$16.90,00-7903-0
14,3-Point Retractable Seat Belts / Harness Set,$139.95,
15,4 Spoke Wheels,From $129.95 to $229.95,
16,8mm 12 Point Chromoly Nuts (8),$12.50,17-2988
17,8mm 12pt Nuts (8),$12.50,17-2988
18,"90 Degree Formed Tab 5/16"" Hole",$9.95,
19,A Brand New TRW Steering Box,$179.95,113415061C
20,Accelerator Bowden Tube,$9.95,131721551
21,Accelerator Cable,From $5.95 to $9.95,
22,Accelerator Pedal Kit & Hardware,From $7.50 to $17.50,
23,Adjustable Spring Plates Swing & IRS,From $84.95 to $99.95,
24,Air Deflector Tins,$12.90,
25,Aluminum Bus Side Step,$149.90,15-2028
26,Aluminum Cast Air Filter Assembly,$69.90,43-6018
27,Aluminum Fuel Filler (weld on),$29.90,201005
28,Arm Rest - Door Panel,From $14.50 to $39.90,
29,Auto Haus Racing Team T-Shirt,$14.95,
30,Auto Haus Sticker,$2.00,15-4046
31,Axle Nut Tool,$12.90,
32,Ball Joint Camber Adjuster,$29.90,22-2817
33,Ball Joint Camber Adjuster Washer,$7.50,22-2813
34,Ball Joints Stock & Lowered Clearanced,From $17.50 to $27.50,
35,Bamboo Tray,$74.90,00-4870
36,Battery Ground Strap,$18.90,TB-Cable-2
37,Battery to Starter Cable,$17.50,Batt-Cable
38,Beam Bushings,$9.90,413108
39,Beauty Rings,$59.90,
40,Bench Mount Engine Stand,$39.90,00-5001
41,Bench Mount Head Assembly Tool,$44.90,00-5742
42,Beru Blue Coil,$29.90,00-9403-B
43,Billet 009 Distributor cover,$47.50,16-9545
44,Billet 3 Bolt Spacer/Adapter,$84.50,79-4025
45,Billet Aluminum Deck Lid Stand Off,$29.90,17-2948
46,Billet Aluminum Runnng Boards,$129.90,
47,Billet Crank Case Breather with Shielded Filters,$54.90,16-5153
48,Billet Fuel Block / Coil Mount,$49.90,
49,Billet Fuel Pump Block W/Vent,$19.50,17-2927
50,Billet Gas Pedal,$84.50,17-2994
51,Billet Hub Adapter,$109.90,
52,Billet Oil Filler Breather Box,$84.50,17-2941
53,Billet Outer Pulley Half,$29.90,
54,Billet Plus Shifter,$179.90,
55,Billet Pulley for Alternator,$59.90,
56,Billet Shift Couplers - Best on the market !!!!,From $29.95 to $49.95,
57,Billet Steering Box Clamp,$19.90,16-7509
58,Billet Steering Box Lid (Cover),$34.90,16-7508
59,Bolt On Oil Cooler Fan Kit,$199.95,00-9248
60,Bosch Rev Limiting Rotors,From $44.95 to $59.90,
61,Boxed HD Rear Trailing Arms Std - 3x3,$249.90,
62,Brake Adjusting Screw - Early,$2.25,211609209
63,Brake Adjusting Screw -Late,$2.25,131609209
64,Brake Bleeder Valve,$2.25,211611477a
65,Brake Bleeder Valve Cover,$2.25,211611483
66,Brake Drums T-1 Front and Rear,From $39.95 to $69.95,
67,"Brake Drums, Type 2 Bus",$89.95,
68,Brake Fluid Reservoir - Early,$7.90,113611301G
69,Brake Hardware Spring Kit,$8.95,
70,Brake Line Coupler,$9.95,Brake-Couple
71,Brake Line Kit,$29.90,
72,Brake Line T,$11.90,Brake-T
73,Brake Lines - Metal VW,From $4.50 to $14.50,
74,Brake Reservoir,$9.90,211611301C
75,Brake Reservoir - Late,$9.90,113611301L
76,Brake Reservoir Cap,$5.50,111611349
77,Brake Reservoir for Type 2 69-70,$19.90,98-1691
78,Brake Star Adjuster,$5.75,113609205a
79,Brass Fitting  M 1/4p - F 1/4p 45 degree Pair,$9.50,00-9246
80,Buggy Bags,$19.90,
81,Buggy Master w/Aluminum Reservoir,$49.90,00-6116
82,Bugpack Flanged Crankshaft,$699.90,
83,Bus Basket,$29.90,
84,Bus Billet Plus Shifter,$239.95,
85,Bus Drop Spindles - Pair,$249.90,22-2948
86,Bus Front Brake Calipers,$119.90,18-1011
87,Bus Front Brake Hub Assembly,$79.90,18-1019
88,Bus Front Brake Rotor,$59.90,18-1014
89,Bus Master Cylinder Kit,$79.90,18-1033
90,Bus weld on Beam Adjuster,$29.90,16-9916
91,Bus Wood Steering Wheel Billet Adapter,$89.90,
92,Camber Compensator,$79.50,00-9615
93,Car Craft Iron On Patch,$5.00,CC-Patch
94,Car Craft T-Shirts,$19.90,
95,Carburetor Return Spring,$3.50,113129881A
96,Carpet Kit (Floor),From $89.90 to $109.90,
97,Carpet Kit (Rear Well),From $59.90 to $69.90,
98,Case Splitter,$9.95,16-9601
99,Caster Shims and Longer Bolts,From $7.50 to $9.95,
100,Caution Sticker,$2.00,00-9802
101,Center Console Basket,$29.90,
102,Center Load Rack & Pinion,$149.90,16-2184
103,Chrome & Silver Stock Wheels,From $49.90 to $79.90,
104,Chrome Baffled Tips,$34.90,16-9535
105,Chrome Comp-u-fire coil 12v,$44.90,30350
106,Chrome Deep 14mm Lug Nuts,$11.50,70-2862
107,Chrome Engine Brace / Traction Bar,$69.90,B6-5102-1
108,Chrome Exhaust Tips - Flared,$24.90,00-3362
109,Chrome Lug Bolts 14mm,$12.50,00-9568
110,Chrome Nut and Stud Kit,$9.90,
111,Chrome Oil Filler without down draft tube.,$7.90,00-8963
112,Chrome Oil Filter,$12.50,00-9240
113,Chrome Smooth Hub Cap,$14.90,
114,Chrome Stock Fuel Pump,$34.90,98-1270
115,Chrome Super Shifter,$99.90,16-2105
116,Chrome Tail Pipes - Diagonal Cut,$19.90,00-3694
117,Chrome Tie Rods,From $27.50 to $34.50,
118,Chrome Wheel Locks,$24.50,
119,Classic Wood Steering Wheels,$129.90,
120,Clutch Bowden Tube,$9.90,311721361
121,Clutch Cable,From $9.50 to $12.90,
122,Clutch Cable Wing Nut,$2.50,131721349
123,Clutch Pedal Hook,$9.90,
124,"CNC Match Ported Manifolds - IDF, IDA, HPMX & EPC",From $219.99 to $239.95,
125,CNC Ported Gaskets - Pair,$7.50,
126,Coat Hooks,$4.50,
127,Cofap Shock Special,$24.90,Cofap
128,Coil Over Shocks,From $74.90 to $79.90,
129,Colored Plastic Pulley Backing Plates,$5.50,
130,Colored Roll Bar Pad,$8.50,
131,Combo Spindles,$349.90,412030
132,Competition Press in Wheel Studs,$8.90,
133,"Complete New Carb Rebuild Kit, IDF Weber",$28.90,703
134,Complete Stock Solex Carb Rebuild Kit,$24.90,700
135,Complete Tie Rod Assembly,From $22.50 to $27.50,
136,Copper Exhaust Gaskets,$14.50,
137,Copper Exhaust Gaskets - Stock Style,$14.90,
138,Copper Exhaust Nuts - 8mm with 12mm head. (4),$1.75,AC101060B
139,Corsa Wheel,$134.90,10-1121
140,Crankshaft and Flywheel 8 Dowel Jig,$29.90,00-5004
141,Crankshaft Gear Puller,$94.90,00-5714
142,Crankshaft Pulley Puller,$32.90,00-5784
143,Cross Bar Linkage Bushings,$4.50,43-1060
144,Crow 2x2 Sand Car Restraints with automotive style latch,$119.90,
145,Crow 2x2 Sand Car Seat Belt Restraints,From $99.90 to $119.90,
146,"Crow 3x2 ""H"" Seat Belt Restraints",From $109.90 to $129.90,
147,"Crow 3x2 ""V"" Type Seat Belt Restraints",From $109.90 to $129.90,
148,"Crow 3x2 ""Y"" Sand Car Seat Belt Restraints",From $104.90 to $124.90,
149,"Crow 3x3 ""H"" Style Buggy Seat Belt Restraints",From $109.90 to $129.90,
150,"Crow 3x3 ""V"" Buggy Seat Belt Restraints",From $109.90 to $129.90,
151,"Crow 3x3 ""Y"" Type Seat Belt Restraints",From $109.90 to $129.90,
152,Crow Anti-Submarine (Crotch) Straps,$24.90,
153,Crow Sand Car Wrist Restraints,$49.90,
154,Custom Pedal Covers,From $9.90 to $12.90,
155,"Cylinder Super Cool Tin, Chrome or Black",From $14.90 to $17.90,
156,Dash Cover,$44.95,00-4447
157,Dash Grab Handle,$17.90,98-1061
158,Deck Height Measuring Tool,$32.50,00-5756
159,Deck Lid Quick Release Pins,$8.90,00-8669
160,Deck Lid Stand Off's,$12.50,00-9141
161,Decklid Hinge Tabs,$7.50,16-9837
162,Decklid Latch 65-66,$19.90,98-1084
163,Deep Fuch Wheel Caps - Pairs,$79.90,10-1107
164,Deluxe Flywheel Seal Installer,$29.90,00-5774
165,Disc Brake Kit for Type 2 Early Bus,$759.90,
166,Distributor Drive Gear Puller,$39.90,00-5717
167,Distributor Ignition Screamer Kit,From $79.90 to $179.90,
168,Door Panel Set,$89.90,
169,D-Series Dual Carbs,$849.90,
170,Dual Bypass Adapter,$47.50,17-2873
171,Early and Late Dust / Grease Caps,$8.50,
172,Early Trans to Late Pan Adapter,$69.90,
173,Electronic all in one Single Vacuum Advance Distributor,$79.90,00-9437
174,Emergency Brake Boots,From $7.50 to $17.90,
175,Emergency Brake Handle Kit,From $12.90 to $27.50,
176,Empi 3 Car T Shirt,$17.50,
177,Empi 4 Lug Stock Hub Cap,$17.50,10-1063
178,Empi American Classic Shirt,$17.50,
179,Empi Equipped Sticker,$2.00,00-9817
180,Empi IDA Shirt - Size Does Matter !,$17.50,
181,Empi Inch Pincher T-Shirt,$17.50,
182,Empi Oval Sticker,From $1.50 to $25.00,
183,Empi Truss Bar Kit,$169.90,17-2975
184,Empi Type 1 Tan Shirt,$17.50,
185,End Play Measuring Tool,$24.90,00-5760
186,Engine Case Adapter for Type 2 & 3,$14.50,00-9148
187,Engine Tin Kits,From $159.90 to $199.90,
188,Exhaust Clamp Kit,$11.50,111298009A-B
189,Exhaust Clamps,$3.90,111-051-B
190,Exhaust Port Gaskets - Steel,From $4.95 to $7.50,
191,Exhaust Springs (4),$8.90,00-3476
192,Exhaust Tail Pipe Clamp,$3.90,113-051B
193,External Ballast Resistor,$12.50,00-9401
194,Fan Thermostat - Electric,$34.90,33-5721
195,Filler Neck Hose for Late Gas Tank,$17.90,311201215A
196,Filter Gasket Kit,$2.50,113198031
197,Flanged Crank Flywheel Bolts (6),$27.50,ar10680
198,Flanged Flywheel,$275.00,200fw12f-f
199,Flat 90 Degree Gusset (4),$11.90,16-1142
200,Flat Mount Tab,$7.90,
201,Flat Radius Mount Tabs,From $8.90 to $11.50,
202,Flip Top Fuel Filler,$32.50,16-6033-0
203,Floor Tar Board Insulation,$54.90,98-2012
204,Flush Mount Valve Stem Set,$17.50,00-9514
205,Flywheel Lock,$9.90,00-5003
206,Flywheel Shims,,
207,Foam Seat Padding,From $24.90 to $59.90,
208,Formed 90 Degree Gussets.,$14.90,16-1143
209,Fram HP1 Oil Filter,$14.50,HP1
210,Fresh Air Grommet Pair,$8.50,98-1198
211,Front End Adjuster,$17.50,
212,Front End Clamps,From $4.50 to $7.50,
213,Front End Clamps Raw,From $4.50 to $7.50,
214,Front Super Beetle Strut Bump Stop,$4.75,133412303A
215,Front Type 2 Bus Sway Bars,$89.90,
216,Fuel Level Gauge 62-67,$39.90,98-2019
217,Fuel Pump - Solonoid Type,$34.50,41-2602
218,Fuel Pump Rod,$3.90,
219,"Fuel Sender, Type 2 55-66 Bus",$39.90,98-9194
220,Fuel Tank Sender,$44.50,271919051B
221,Full Flow Remote Filter Kit,$99.90,00-9252
222,Gasser Wheels W/Cap and Valve Stem,$129.90,
223,Gear Shift Boot,$8.90,00-4535
224,Genuine Redline Weber IDF Rebuild Kit,$27.50,92.3240.05
225,Ghia T Shirts,$17.50,
226,Glove Box,From $22.50 to $34.95,
227,Glove Box Lock 68-77 Std & 71-72 Super Beetle,$17.95,98-1054
228,Grab Handles - Weld On,From $9.90 to $14.50,
229,Gray Area Rear Disc Brake Kits,From $799.90 to $899.90,
230,Gray Area Technologies Billet Front Brakes,From $69.90 to $899.90,
231,Grub Screw Set,$16.50,98-4165
232,H-Beam Type 4 Rods,$259.90,
233,HD Green Sand Seal,$8.90,00-9112
234,"HD Stock Spring Plates - Swing or IRS, Plain or Chrome",From $69.90 to $99.90,
235,Head CC Measuring Kit,$29.90,16-9603
236,Header Coating Services,$0.01,CC-HC
237,"Headlight - Stock Sealed Beam 7""",$17.50,00-9304
238,Headliner Kits,From $24.50 to $99.90,
239,Heater Box Bellow Hoses,$24.90,
240,Heater Box Flange Kit,$14.50,00-3640
241,Heater Box Repair Pipes,$8.90,00-9914
242,Heater Hose,From $3.90 to $8.90,
243,Heater Hose Connection Pipes,$4.50,113255165
244,Heavy Duty Rack & Pinion,From $159.90 to $169.90,
