,title,price
0,,144.95
1,NGK DP7EA-9 Spark Plug,4.15
2,"CDB 3-3/8"" GPS Speedometer 120mph (w/ turn signal and high beam)",316.68
3,"CDB 3-3/8"" Dual Gauge - Oil psi, Volt",214.75
4,"CARB REPAIR KIT 34 PICT-3, 30 PICT-1",17.15
5,"CHROME HOOD LATCH,PR.",15.83
6,*BAJA BUMPER UNIV. FRONT,61.58
7,"PREMIUM EXTRACTOR T1 STANDARD MOUNT,CERAMIC-COATED",248.52
8,Chrome Buggy King Pin Front Bumper,108.25
9,Chrome Buggy Ball Joint Front Bumper,130.23
10,"TOW BAR, SUPER BEETLE 2""",191.57
11,"TOW BAR ONLY, SUPER BEETLE & UNIVERSAL 2""",97.65
12,LONG CLIPS&PINS (TOW BAR),8.15
13,Splined Stub Adapter only for all R & P Units (36 Spline),9.92
14,"RACK & PINION(4 MT HOLES)14""",146.58
15,"Chrome Tie Rod Set w/ Link Pin, Tie Rod End and Clevis, Ea. Fits 3147 and 16-2180 R&P Units",31.58
16,Hydr Park Lock,43.25
17,Belly Pan Gasket,18.25
18,Shifter Mount Box,11.98
19,Roller Pedal Black,9.48
20,FRONT END MOUNT CLAMPS (8),32.48
21,CHROME FRONT END CLAMPS (4),23.33
22,Cable Shortening Kit,11.40
23,BULK ROUND PC. F/CABLE Throttle,2.17
24,"Chrome 60"" Steering Shaft 7/8""",42.07
25,"BUMPER BRACKET GROMMET,THRU 67 PR",2.50
26,"BUMPER BRACKET GROMMET,68-73 PR",3.03
27,"Chrome Steering Shaft Bearing 7/8""",15.23
28,LICENSE PLATE BRACKET REAR,4.92
29,"HOT ROD EMBLEM, EA.",6.15
30,Skid Plate,114.90
31,Single Port End Kit,65.83
32,DUAL PORT END KIT (STK) L/R,74.92
33,DUAL PORT MAN.GASKETS (2),1.92
34,"BK BASE GASKET F/34PICT-3,EA",1.67
35,"BK BASE CARB GASKET For 30PICT-1,EA",2.12
36,"GASKET FOR 40-44IDF/HPMX/40DRLA, PR.",1.75
37,"LONG CHROME STINGER, BAJA",66.58
38,"Fresh Air Hose, Aluminum, 50 x 1000mm",3.33
39,SS Heater Hose Clamp,5.70
40,Muffler Clamp Kit,11.40
41,"HOLLEY/WEBER BASE GASKET,ISOLATED (2)",1.92
42,Dual Port Installation Kit,7.98
43,Replacement Single Port Installation Kit,7.98
44,HEADER HARDWARE (BAG),2.57
45,FLOOR PAN INSTALLATION KIT,17.15
46,Front Hood Seal,11.58
47,Engine Sheet Metal Seal 67-74,12.33
48,"DOOR SEAL KIT,SEDAN 56-66 PR",27.17
49,"DOOR SEAL KIT,SEDAN 67-ON PR",28.25
50,Rear Deck Lid Rubber,2.33
51,Buggy Headers Chrome w/Inserts,287.40
52,Replacement Muffler Insert,18.25
53,S/S MERGED HEADR W/STINGER,397.58
54,S/S STINGER W/SWIVEL FLANGE,70.83
55,UNIV. BAFFLE INSERT W/FIBERGLASS,14.17
56,2-point Lap Seat Belt,23.25
57,Stainless Steel GAS TANK KIT 10X16,183.25
58,S/S GAS TANK KIT 10X33 10.6 Gal.,208.25
59,"Carpet Kit, 7-Piece w/Footrest, Black",122.58
60,REAR WELL & CARGO AREA CARPET KIT 65-72 5PC. BLK,57.42
61,REAR WELL & CARGO AREA CARPET KIT 73-77 5PC. BLK,59.33
62,"CARPET KIT 73-79 11PC. BLK, SB Convertible",90.25
63,Valve Lash Caps,8.67
64,Case Stud Kit 10mm Dual Port Std Length,63.15
65,Case Safer 10mm ID x 1/2 OD (8),8.08
66,Case Saver 10mm ID x 14mm OD (8),8.08
67,Case Stud Kit 8mm Dual Port Std Length,43.98
68,Self Tapping Case Stud,6.58
69,"STARTER BUSHING,12V STRTR/6V TRANS",4.87
70,Gland Nut and Washer Kit,17.15
71,HI-PERF PUSH RODS (8),59.92
72,Cut To Length Chromoly Push Rods,49.92
73,PISTON PIN BUTTON 87/88MM(8),22.90
74,Super Duty Clutch,30.57
75,KEP Stage 1 Pressure Plate,166.58
76,"KEP Stage 3, 2600 lb Pressure Plate",148.25
77,Kush-Lok 200mm Clutch Disc,57.42
78,CARPET KIT 60-67 1PC. BLK,38.00
79,CARPET KIT 68-78 1PC. BLK,45.90
80,"VW HEADLINER, 58-67 BLK",58.25
