,title,price
0,Classic VW Beetle Rear Air Ride Kit BOLT IN Type 1 & Ghia Swing Axle," 1,495"
1,Classic VW DubAir Suspension System for Type 1 Beetle 66-77 (Excluding Super Beetle)," 1,495"
2,Classic VW Air Shock Adapters with Swivel Air Line Connectors, 39.95
3,Classic VW Bolt On Shock Relocators for Type 1 49-65,
4,Classic VW DubAir Air Suspension Control System for Air Rides, 639.95
5,DubAir Classic VW Front Air Suspension System for Type 1 Beetle 66 Thru 77 (Without Air Management), 849.95
6,DubAir Classic VW Front Air Suspension System for Type 1 Beetle Thru 65 (Without Air Management), 995
7,"Classic VW  Air Ride Shocks for Type 1 Link Pin, Beetle, Bug & Ghia", 139.95
8,"Classic VW Air Ride 1/2"" NPT to 1/4"" PTC Swivel Fitting", 6.95
9,Classic VW DubAir Air Suspension System for Type 1 Beetle through 65," 1,495"
10,Classic VW Air Inflation Valve for Air Suspension Systems, 8.95
11,Classic VW Type 1 Air Suspension Single Gauge and Mechanical Switch Panel, 69.95
12,Classic VW Revolution Beetle & Ghia Bolt In Rear Air Ride System IRS," 1,795"
13,Classic VW Revolution Bolt In Rear Air Ride System Swing Axle," 1,795"
14,Classic VW Beetle Rear Air Ride Kit BOLT IN Type 1 & Ghia IRS,
15,Classic VW Push To Connect Union Tee Fitting, 5.95
16,Complete Bolt In Air Suspension for Type 1 Beetle Front and Rear 69-77," 3,499.95"
17,Complete Bolt In Air Suspension for Type 1 Beetle Front and Rear 66-68," 3,149.95"
18,Complete Bolt In Air Suspension for Type 1 Beetle Front and Rear 59-65," 3,149.95"
19,Complete Bolt In Air Suspension for Type 1 Beetle Front and Rear 59-65 Revolution Kit," 3,399.95"
20,Classic VW Viair Relay for Air Suspension Systems, 7.40
21,Classic VW 009 Distributor Cap Empi 16-9435, 9.95
22,Classic VW 12 Volt Coil by Beru Empi 9403, 27.95
23,Classic VW 12 Volt Coil Empi 9404,
24,Classic VW 12 volt Horn Empi 98-2031, 14.95
