,name,price,sku
0,Holley Sniper EFI 2300 2-Barrel Self-Tuning Master Kit - Polished Finish,"1,109.95",550-849K
1,Fitech 400HP Fuel Injection Kit for VW Type 1 Engines with Inline Fuel Pump,"1,529.00",FIT-VW-400HP-KIT
2,RAD 2 BBL Intake Manifold for VW Type 1 - Stainless Steel Intake for Carburetors & Fuel Injection    	3232-2,389.99,3232-2
3,Throttle Cable Bracket for 2 Barrel or 4 Barrel Carburetors & EFI    	SRK-4000,36.95,SRK-4000
4,Universal Cable End Adapter for Carburetors or EFI    	43-0605,13.99,43-0605
5,"Unversal Throttle Cable Kit with Sheath for Dellorto, 2 Barrel Carburetor, 4 Barrel Carburetor and EFI    	3357",34.99,3357
6,"Unversal Throttle Cable Kit with Sheath, End & Bracket for Fitech 2 Barrel Carburetor and 4 Barrel Carburetor EFI",79.96,"3357,43-0605-0,SRK-4000"
7,Basic Fitech 400HP Fuel Injection Kit for VW Type 1 Engines,"1,239.00",FIT-VW-Basic-400HP-KIT
8,Fitech Throttle Return Spring Kit - 60011,31.32,60011
9,FiTech Fuel Injection In-Tank Retrofit Kit - 40019,349.00,40019
10,4 Barrel Air Cleaner for FiTech or 4BBL Carburetor Mr. Gasket 1486 6.5 inch Diameter,24.99,1486
11,FiTech Go EFI Inline Fuel Pump - 40101,95.00,50101
12,Fitech Go Street EFI - 400 HP System - 30003,858.60,30003
13,4 Barrel Air Cleaner for FiTech or 4BBL Carburetor K&N 60-1330 7 inch Diameter,85.99,60-1330
14,FiTech Go EFI 8 1200 HP Power Adder Plus - 30012,"1,501.20",30012
15,FiTech Go EFI Fuel Delivery Kit - 50001,245.00,50001
16,Fitech Go EFI 4 600 HP Fuel Injection Kit - 30001,990.00,30001
17,Fitech Go EFI 4 600 HP Power Adder Fuel Injection Kit - 30004,"1,199.88",30004
18,Bugpack Ceramic Street Max Header with Stinger 1 5/8 2009-13,159.99,2009-13
19,"Bugpack Super Duty Tie Rods Without Damper, 26 1/2  5576",30.00,5576
20,Bugpack Super Duty Tie Rods With Damper 24 1/2  5577,30.00,5577
21,Bugpack Ceramic Coated Dual Quiet Pack Bus 1961-1971  2535-13,99.99,2535-13
22,Bugpack Type 3 Quiet pack Muffler with Chrome Tip 2543,89.99,2543
23,"Bugpack ""Hide-Out"" Muffler 1 3/4 inlet, for use with Heater Boxes. 2556",99.99,2556
24,Bugpack Baja Glasspack Muffler 2527,99.99,2527
25,Bugpack Chrome Baja Header Only 2060-10,99.99,2060-10
26,Bugpack Single Quiet Pack Muffler for 2034-10 Header (Bus 75-79) 2536,99.99,2536
27,"Bugpack Ceramic Hide-Out Muffler, for use With Heater Boxes 1 3/4 2556-13",99.99,2556-13 
28,Bugpack Street Tubes Single Muffler Kit 2564-10,99.99,2564-10
29,"Bugpack Ceramic Type 4/Bus Header Only, 1972-1974 Only 2086-13",99.99,2086-13
30,Bugpack Type 4 Muffler Only for the 2068-10 Header 2576,99.99,2576
31,Bugpack Ceramic Type 4 Quiet Pack Muffler Only For 2086-10 Header. 2576-30,99.99,2576-30
32,Bugpack Ceramic Muffler Weld on Muffler Kit  2581-23,99.99,2581-23
33,"Bugpack Urethane Axle Covers, Red 5047-13",10.00,5047-13
34,Bugpack 3 Puck Clutch Disc 4088,77.00,4088
35,Bugpack Braided Fuel Line Kit 1005,20.00,1005
36,Bugpack Ceramic Beetle/Bus Header 66-on 2031-13,99.99,2031-13
37,Bugpack Header Without Heat Risers 2037-10,79.99,2037-10
38,Bugpack Ceramic Header Without Heat Risers 2037-13,89.99,2037-13
39,Bugpack Black Dual Quiet Pack Muffler with Chrome Tips for Beetle/Type 1  2544,99.99,2544
40,Bugpack Black Dual Quiet Pack Muffler with Chrome Tips for Bus and Karmann Ghia 1966-1971  2535,99.99,2535
41,Bugpack Ceramic Dual Quiet Pack Muffler Type 1 2544-13,99.99,2544-13
