,sku,product_name,price
0, 102-10.4,"JPS Aircooled Porsche 356 912 CNC Billet 93/94mm ""Sport Plus"" Complete Cylinder Heads inc 8mm Head Studs","$6,884.00"
1, 102-20,Porsche 356/912 Twin Plug Programmable Distributor for 6 and 12 Volt Models,"$1,495.00"
2, 106-00.12 ,Bilt Racing Service BRS Billet 2.5 QT 9A2 Deep Sump Oil Pan Kit for 991.2 Models,"$2,500.00"
3, 106-00.13,Bilt Racing Service BRS Billet 2 QT Deep Sump Oil Pan Kit for 718 Models,"$2,225.00"
4, 106-08.30.R,MY06-08 IMS Housing Bore Repair Adapter Ring/Sleeve,$199.00
5, 106-14.99-101,LN Engineering 99-101mm Ring Squaring Tool,$24.95
6, 107-10,Advanced Technical Support (ATS),$170.00
7, 107-KS,Add Knock Sensor Bosses to Nickies Cylinders,$400.00
8, 11-13-7-535-106-LN,LN Engineering Billet Engine Oil Magnetic Drain Plug for BMW Vehicles,$20.95
9, 111-997-03-30-LN,LN Engineering Billet Engine Oil Magnetic Drain Plug for Mercedes-Benz Vehicles,$22.95
10, 121-06,"Bilt Racing Service BRS Billet Accelerator Pedal Spacer for Boxster, Cayman, & 911 Models",$219.00
11, 121-07,Bilt Racing Service BRS Billet Button Enclosure with Carbon Fiber Button Panel (Blank),$380.00
12, 607-02.944OCB,Driven DT50 15w50 Oil Change Bundle for Porsche 924 944 968 928 Models,$137.89
13, 607-02.OCB, Driven DT50 15w50 Oil Change Bundle for Aircooled Porsche 911 Models,$137.89
14, 99310708800LN,LN Engineering Chain Tensioner Oil Bridge for Porsche 964/993 Models,$139.00
15, 9A1-106-048-02-KIT,"Genuine Porsche 987.2/997.2 Water Pump Kit inc. Gaskets, Belt, Bolts, Stock Thermostat, & Driven CSP","
                    $681.59                "
16, LIB-0037,Mahle Motorsports 2020 Porsche Catalog,$0.00
17, NW-996-RED,Notta Wrench Air Oil Separator AOS Line Release Tool 996/986 Models,$30.00
18, NW-997-TAN,Notta Wrench Air Oil Separator AOS Line Release Tool 997/987 Models,$30.00
19, PS90-003N,Porsche® 911 2.7L Carb or K-Jet CIS (1973 - 1977)  90mm Nickies™ Cylinder and 10.3:1 Mahle Motorsports® Piston Set,"$6,900.00"
