,name,sku,price
0,VW 10692 69MM VOLKSTROKER CAST COUNTERWEIGHTED CRANKSHAFT,MFC-10692,239.99
1,CONTITECH VW FAN V BELT FOR VOLKSWAGEN,10x888,9.99
2,WEBER DUAL 40 IDF CARBURETOR KIT,EMPI 43-7317,899.00
3,113-129-031K 34 PICT 3 CARB BUG BEETLE GHIA WEBER REDLINE BRAND,113-129-031K,199.95
4,30679 Valve Seat,,5.00
5,BROSOL SOLEX 31 PICT-3 CARBURETOR VW BUS GHIA BUG,EMPI 98-1292-B,199.00
6,VW TYPE 1 VALVE ADJUSTER JAM NUT 8 MM,N111521,5.50
7,VW BUG ENGINE GASKET SET / FLYWHEEL SEAL,111-198-007AFG,25.00
8,VW BUS BEETLE BUG GHIA THING BUGGY OIL PRESSURE SWITCH,021-919-081A,5.99
9,EMPI 3245 Carburetor Adaptor For Alternator Conversion,EMPI 3245,13.95
10,EMPI 3170 THROTTLE CABLE SHORTENING KIT,EMPI 3170,3.95
11,Empi 4027 Starter Bushing,EMPI 4207,5.95
12,Bosch New Al82n Alternator,AL82N,229.00
13,New Centrifugal Distributor 009,0231-178-009,55.00
14,Empi 5102 Oil Filter Nut Tool,EMPI 5102,19.95
15,COIL OVER ADJUSTABLE SHOCKS,9570-8,79.95
16,COIL OVER ADJUSTABLE SHOCKS BALL JOINT FRONT,9571-8,89.95
17,MOFOCO 050 BIG VALVE AIR COOLED VW CYLINDER HEAD,MFC-CCH050,324.99
18,MOFOCO 042 BIG VALVE CYLINDER HEAD,MFC-CCH042,299.99
19,OE VW 311-941-531A Headligh Swtich,311-941-531A,24.99
20,211-905-853A  Ignition Switch w/ Keys,211-905-853A,24.99
21,MOFOCO 041 CYLINDER HEAD,MFC-CCH041,239.99
22,Mofoco 040 Dual Port New Cast Stock Cylinder Head  ***SCORE APPROVED***,MFC-CCH040,205.00
23,REBUILT DUAL PORT CYLINDER HEAD,MFC-CH1375A,199.99
