,name,sku,price
0,Classic Vw Bug Interior Dome Light Assembly With Bulb,947111111E,14.9500
1,Switch For Interior Dome Light,947561113,6.9600
2,"Black 3 Gauge Panel - Left Side Speedometer Vw Bug Dash, 2-1/16"" Holes",VDO240009,14.9500
3,"Chrome 3 Gauge Panel - Left Side Speedometer Vw Bug Dash, 2-1/16"" Holes",VDO240009C,15.9500
4,"Black 3 Gauge Panel, Left Side Speedometer Vw Bug Dash, 3-1/8"", 2-1/16"" Holes",VDO240011,14.9500
5,"Chrome 3 Gauge Panel, Left Side Speedometer Vw Bug Dash, 3-1/8"", 2-1/16"" Holes",VDO240011C,15.9500
6,"Black 1 Gauge Panel - Right Side Speedometer Vw Bug Dash, 2-1/16"" Hole",VDO240012,13.9500
7,"Chrome  1 Gauge Panel - Right Side Speedometer Vw Bug Dash, 2-1/16"" Hole",VDO240012C,14.9500
8,"Black 2 Gauge Panel - Right Side Speedometer Vw Bug Dash, 2-1/16"" Holes",VDO240015,13.9500
9,"Chrome 2 Gauge Panel - Right Side Speedometer Vw Bug Dash, 2-1/16"" Holes",VDO240015C,14.9500
10,"Black Under Dash 1 Hole Gauge Panel For 2-1/16"" Gauges",VDO240027,14.9500
11,"Black Under Dash 2 Hole Gauge Panel For 2-1/16"" Gauges",VDO240028,19.9500
12,"Black Under Dash 3 Hole Gauge Panel For 2-1/16"" Gauges",VDO240029,24.9500
13,"Chrome Under Dash 1 Hole Gauge Panel For 2-1/16"" Gauges",VDO240034,15.9500
14,"Chrome Under Dash 2 Hole Gauge Panel For 2-1/16"" Gauges",VDO240035,20.9500
15,"Chrome Under Dash 3 Hole Gauge Panel For 2-1/16"" Gauges",VDO240036,25.9500
16,Volkswagen Bug Mechanical Fuel Level Gauge,919029113,44.9500
17,Fuel Tank Sending Unit - Vw Bug 1962-1967 / Mechanical Plastic Base,919049113C,34.9500
18,Fuel Tank Sending Unit - Vw Bug 1968-1976 / 73-10 Ohm,919049113D,39.9500
19,Fuel Tank Sending Unit - Vw Super Beetle 1971-1979 / 73-10 Ohm,919051113F,59.9500
20,Rubber Gas Tank Sending Unit Gasket,919133113,8.9500
21,Classic Volkswagen Fuel Gauge 1968-1976 Vw Bug,957063113B,29.9500
22,Classic Volkswagen Fuel Tank Vibrator 1968-1976 Vw Bug,957099113A,24.9500
23,"VDO Cockpit Royale Series 2-1/16"" Fuel Level Gauge 301733",VDO-R301733,48.9500
24,VDO Cockpit Royale Series Oil Temperature Gauge 310709,VDO-R310709,62.9500
25,VDO Cockpit Royale Series Water Temperature Gauge 310710,VDO-R310710,52.9500
26,VDO Cockpit Royale Series Voltmeter Gauge 332702,VDO-R332702,62.9500
27,"VDO Cockpit Royale Series 3-1/8"" Speedometer Gauge 437750",VDO-R437750,189.9500
28,"VDO Cockpit Royale Series 3-3/8"" Speedometer Gauge 437752",VDO-R437752,189.9500
29,"VDO Series-1 2-1/16"" Vacuum Gauge 150301",VDO-S150301,39.9500
30,"VDO Series-1 2-1/16"" Ammeter Gauge 190301",VDO-S190301,29.9500
31,"VDO Series-1 2-1/16"" Transmission Temperature Gauge 310303",VDO-S310303,29.9500
32,"VDO Series-1 2-1/16"" Voltmeter Gauge 332341",VDO-S332341,39.9500
33,"VDO Series-1 2-1/16"" Voltmeter Gauge 332342",VDO-S332342,36.9500
34,"VDO Series-1 3-3/8"" Speedometer Gauge 437354",VDO-S437354,159.9500
35,"VDO Vision Silverstone Series 2-1/16"" Water Temperature Gauge 310900",VDO-VS310900,42.9500
36,"VDO Vision Silverstone Series 2-1/16"" Oil Pressure Gauge 350904",VDO-VS350904,49.9500
37,"VDO Cockpit White Series 2-1/16"" Turbo Vacuum / Boost Gauge 150206",VDO-W150206,54.9500
38,"VDO Cockpit White Series 2-1/16"" Fuel Level Gauge 301216",VDO-W301216,39.9500
39,"VDO Cockpit White Series 2-1/16"" Water Temperature Gauge 310239",VDO-W310239,39.9500
40,VDO 150855 Mechanical Gauge Nylon Tubing Kit - Includes Fittings/16 Ft Tubing,VDO150855,24.9500
41,"VDO 153002 Mechanical Pressure Gauge 0-15 Psi 1-1/2""",VDO153002,42.9500
42,"VDO 153003 Mechanical Pressure Gauge 0-100 Psi 1-1/2""",VDO153003,42.9500
43,VDO 221012 Fuel Tank Sending Unit - Vw Bug 1968-1976 / 73-10 Ohm,VDO221012,59.9500
44,VDO 224225 Universal Fuel Tank Sending Unit - Tube Type / 90-0 Ohm,VDO224225,74.9500
