,name,sku,price
0,"Injection Pump: 1.6L Diesel, Rabbit, Jetta 81-84 - Reman", 1413,549.95
1,"Engine Long Block: 1.6L Diesel - Mechanical Head, 12mm Head Bolts - Reman", 36871,"2,345.95"
2,Diesel Timing Tool Kit: VW Diesels 77-96, 17821,139.95
3,"Engine Long Block: 1.6L Diesel - Mechanical, 11mm Head Bolts, Reman", 40542,"2,345.95"
4,"Cylinder Head: 1.6L Diesel - 12mm, Hydraulic, New", 11612,749.95
5,"Engine Long Block: 1.9L Turbo Diesel - Conversion Engine, Reman", 40409,"3,645.95"
6,"Cylinder Head: 1.6L Diesel - 11mm, Mechanical, Reman", 1170,549.95
7,"Engine Long Block: 1.6L Diesel - Hydraulic Head, 12mm Head Bolts, Reman", 11539,"2,345.95"
8,Cylinder Head: 1.5L Diesel - Reman, 1161,549.95
9,"Engine Long Block: 1.6L Turbo Diesel - Hydraulic Head, Reman", 40032,"2,495.95"
10,"Cylinder Head: 1.6L Diesel - 12mm, Mechanical, New", 12111,749.95
11,"Cylinder Head: 1.6L Diesel - 12mm, Mechanical, Reman", 1171,549.95
12,Cylinder Head: 1.9L Turbo Diesel AAZ/1Y (Canadian) - Reman, 17869,749.95
13,"Cylinder Head: 1.6L Turbo Diesel - 12mm, Hydraulic, New", 11925,749.95
14,"Engine Short Block: 1.6L Diesel - Mechanical, 11mm Head Bolts, Reman", 11532,"1,695.95"
15,"Injection Pump: 1.6L Diesel, Jetta, Golf 85-86.5 - w/ Manual Transmission, Reman", 1419,549.95
16,"Cylinder Head: 1.6L Turbo Diesel - 12mm, Mechanical, New", 12195,749.95
17,"Cylinder Head Bolt: Gas or Diesel 11mm, 75-92 - Set Of 10", 12306,19.95
18,"Cylinder Head: 1.6L Diesel - 11mm, Mechanical, New", 3977,749.95
19,"Engine Short Block: 1.6L Diesel - Hydraulic Head, 12mm Head Bolts, Reman", 37014,"1,795.95"
20,"Cylinder Head: 1.6L Diesel - 12mm, Hydraulic, Reman", 9041,549.95
21,Cylinder Head: 1.6L Turbo Diesel Hydraulic - Reman, 35212,549.95
22,Cylinder Head: 1.9L Turbo Diesel AAZ (Canadian) - New, 16491,999.95
23,"Piston Set: 1.9L Turbo Diesel (AAZ) - +.020""/.5mm Oversize", 20614,499.95
24,"Cylinder Head: 1.6L Turbo Diesel, 12mm, Mechanical - Reman", 40245,549.95
25,"Vacuum Pump: 1.6L Diesels 81-92, and 1.6L Turbo Diesels 83-92", 13743,199.95
26,"Glow Plug Set: 1.6L Diesel, Rabbit, Jetta, Golf & Many Others 81-92 - Fast, w/ Relay", 15981,87.95
27,"Mount Kit: Rabbit, Jetta 78-84 & Others - Engine and Trans", 17279,34.95
28,Dial Indicator: VW Diesels & Turbo Diesels 77-96, 3508,99.95
29,"Injection Pump: 1.6L Turbo Diesel, Rabbit 83, Jetta 83-86, Quantum 82-85, w/o Idle Speed Boost - Reman", 11202,599.95
30,Injection Pump Rebuild Kit: VW Diesels 77-92, 18053,29.95
31,"Injection Pump: 1.6L Diesel, Vanagon 82-84 - Reman", 5043,649.95
32,"Timing Belt: 1.5L Diesel, 1.6L Diesel, 1.6L Turbo Diesel 77-92", 1258,16.95
33,Engine Rebuild Kit: 1.6D Diesel w/Mech 11mm Head Bolts.  Base Kit plus a std size Piston set & Cyl head., 20245,"1,099.95"
