,title,price,sku,product_link
0,"""EMPI GTV"" DIE CAST LOGO 00-6456-0",$12.86,00-6456-0,https://thevdubfactory.com/collections/all/products/empi-gtv-die-cast-logo
1,"""EMPI"" DIE CAST LOGO 00-6455-0",$11.25,00-6455-0,https://thevdubfactory.com/collections/all/products/empi-die-cast-logo
2,"""T"" BARS, CHROME, THRU ""67 00-3174-0",$26.39,00-3174-0,https://thevdubfactory.com/collections/all/products/chrome-t-bar-to-67-pr
3,.060 VW ROCKER ARM STAND SHIMS FOR ROCKER ARM GEOMETRY SET OF 4,$7.34,21-2360-0,https://thevdubfactory.com/collections/all/products/rocker-stand-shims-060-4pc
4,"00-9468-0 12"" GROUND STRAP BRAIDED TRANS/BATTERY",$11.83,00-9468-0,https://thevdubfactory.com/collections/all/products/12-ground-strap
5,"009 CAST STEEL Distributor, Pointless Ignition System",$153.74,00-9472-B,https://thevdubfactory.com/collections/all/products/cast-electronic-distributor
6,"1 1/2""COPPR SLIP EXHAUST GASKETS SET OF 4 00-3388-0",$16.65,00-3388-0,https://thevdubfactory.com/collections/all/products/1-1-2coppr-slip-exh-gskts-4
7,"1 5/8"" COPPER SLIP EXHAUST GASKETS SET OF 4 00-3389-0",$14.48,00-3389-0,https://thevdubfactory.com/collections/all/products/1-5-8coppr-slip-exh-gskts-4
8,"1 Hole Gauge Panel, Black For 2-1/16",$11.25,14-1009-0,https://thevdubfactory.com/collections/all/products/metal-mount-bkt-blk-1-hole
9,"1 Hole Gauge Panel, Black For 3-1/8",$7.34,14-1005-0,https://thevdubfactory.com/collections/all/products/1-hole-gauge-panel
10,"1 Hole Gauge Panel, Chrome For 2-1/16    14-1014-0",$9.63,14-1014-0,https://thevdubfactory.com/collections/all/products/metal-mount-bkt-chr-1-hole
11,"1-HOLE GAUGE PANEL, CHROME 14-1006-0",$6.91,14-1006-0,https://thevdubfactory.com/collections/all/products/1-hole-gauge-panel-chrome
12,"1.25 RATIO ROCKER ARMS, BUSHING STYLE, COMPLETE SET WITH HARDWARE 21-2162-0",$180.79,21-2162-0,https://thevdubfactory.com/collections/all/products/hp-1-25-r-arm-w-bushing-pr
13,1.25 RATIO ROCKERS ONLY (8)  21-2312-0,$96.95,21-2312-0,https://thevdubfactory.com/collections/all/products/1-25-ratio-rockers-only-8
14,"1.40 RATIO ROCKER ARMS, BUSHING STYLE, COMPLETE SET WITH HARDWARE",$157.22,21-2164-0,https://thevdubfactory.com/collections/all/products/hp-1-40-r-arm-w-bushing-pr
15,"1/4"" FUEL HOSE, 5 Foot roll",$11.25,00-3525-0,https://thevdubfactory.com/collections/all/products/1-4-fuel-hose-5-feet
16,"10MM Chromoly Case Stud Kit, +12.7 mm for VW Dual Port Heads",$62.45,00-4010-0,https://thevdubfactory.com/collections/all/products/10mm-c-m-case-studs-12-7mm
17,"12 Volt Blue Coil, .6 Ohm Economy Version NOT FOR USE ON POINTLESS IGNITION",$32.27,00-9406-B,https://thevdubfactory.com/collections/all/products/12-volt-coil-w-bkt-blue
18,"12 Volt Bosch Coil, 3 Ohm Resisted",$86.66,00-9409-B,https://thevdubfactory.com/collections/all/products/12-volt-bosch-blue-coil
19,12 VOLT HORN FOR EARLY CLASSIC VOLKSWAGEN BUG GHIA BUS,$11.92,98-2031-0,https://thevdubfactory.com/collections/all/products/12-volt-horn
20,"12"" TALL ALUMINUM T HANDLE SHIFTER RIGHT HAND DRIVE",$62.45,00-4497-0,https://thevdubfactory.com/collections/all/products/pol-al-t-hndl-shftr-rhd-std
21,"12MM LUG BOLT FOR EARLY VW BUG-GHIA-SQUAREBACK TO 1967, EACH",$2.28,98-6111-B,https://thevdubfactory.com/collections/all/products/bolt-road-wheel12x1-5mm-ea
22,12PCS Pine Rods Kit for Vintage Speed Beetle Roof Rack,$122.49,155-391-01901,https://thevdubfactory.com/collections/all/products/12pcs-pine-rods-kit-for-vintage-speed-beetle-roof-rack
23,12PCS Pine Rods Kit for Vintage Speed Karmann Ghia Roof Rack,$122.49,155-391-01501,https://thevdubfactory.com/collections/all/products/12pcs-pine-rods-kit-for-vintage-speed-beetle-roof-rack-1
24,"12PT HEX, CV REMOVAL 12 POINT HEX SOCKET ,8MM 3/8'DRIVE",$4.78,00-5796-0,https://thevdubfactory.com/collections/all/products/12pt-hex-cv-removal
25,12PT. 8MM ENGINE NUTS(8) 17-2988-0,$12.05,17-2988-0,https://thevdubfactory.com/collections/all/products/12pt-8mm-engine-nuts8
26,"12V GEN/ALT PULLEY,GOLD ZINC 0-9166-0",$7.79,00-9166-0,https://thevdubfactory.com/collections/all/products/12v-gen-pulley-gold-zinc
27,"13-1/2"" TALL TRIGGER SHIFTER",$54.32,00-4450-0,https://thevdubfactory.com/collections/all/products/trigger-shifter-long
28,"13-15-1600 EXT, EXHAUST SYSTEM, SINGLE QUIET PACK",$138.11,00-3312-0,https://thevdubfactory.com/collections/all/products/13-15-1600-ext-qt-muffler
29,"13-15-1600 EXT,BLK MUFFLER 00-3310-0",$138.53,00-3310-0,https://thevdubfactory.com/collections/all/products/13-15-1600-ext-blk-muffler
30,"13-5/8"" Convex Rear View Mirror, VW Bug EMPI Baja Dune Buggy 00-4587-0",$16.10,00-4587-0,https://thevdubfactory.com/collections/all/products/convex-mirror-13
31,14MM WHEEL NUT EACH,$1.69,70-2860-7,https://thevdubfactory.com/collections/all/products/14mm-wheel-nut-each
32,"17"" Convex Rear View Mirror, VW Bug EMPI Baja Dune Buggy",$19.04,00-4588-0,https://thevdubfactory.com/collections/all/products/convex-mirror-17
33,"1950~1955 BEETLE SPORT MUFFLER ,APRON WITHOUT CUT OUTS 50/35",$500.19,155-203-05100,https://thevdubfactory.com/collections/all/products/1950-1955-beetle-sport-muffler-apron-without-cut-outs-50-35
34,"1956~1977 EXTREME LOWERED VW BUG, SPORT MUFFLER",$500.19,155-233-05700,https://thevdubfactory.com/collections/all/products/1956-1977-extreme-lowered-vw-bug-sport-muffler
35,"1960~1967 BUS SP MUFFLER, CLASSIC OVAL TAIL PIPE AT RIGHT SIDE",$500.19,155-206-05300,https://thevdubfactory.com/collections/all/products/1960-1967-bus-sp-muffler-classic-oval-tail-pipe-at-right-side
36,"1960~1967 BUS SPORT MUFFLER, CLASSIC OVAL TAIL PIPE AT LEFT SIDE",$500.19,155-206-05400,https://thevdubfactory.com/collections/all/products/1960-1967-bus-sport-muffler-classic-oval-tail-pipe-at-left-side
37,"1960~1967 BUS SPORT MUFFLER, STANDARD TAIL PIPE",$500.19,155-206-05200,https://thevdubfactory.com/collections/all/products/1960-1967-bus-sport-muffler-standard-tail-pipe
38,"1960~1967 BUS SPORT MUFFLER, STANDARD TAIL PIPE // for Tow Bar",$500.19,155-706-05600,https://thevdubfactory.com/collections/all/products/1960-1967-bus-sport-muffler-standard-tail-pipe-for-tow-bar
39,"2 1/16"" Gauge Hole Cover, Block Off Plate V2-4086-4",$16.10,V2-4086-4,https://thevdubfactory.com/collections/all/products/blind-cover-f-unused-2-1-16
40,2 BOLT MUFFLER FLANGE GASKETS 2,$1.91,00-3405-0,https://thevdubfactory.com/collections/all/products/2blt-muff-flange-gaskets-2
41,"2 Hole Gauge Panel, Chrome For 2-1/16",$19.04,14-1012-0,https://thevdubfactory.com/collections/all/products/metal-mount-bkt-chr-2-hole
42,"2 POINT RETRACT SEAT BELT, BLACK, PAIR",$117.53,00-3847-0,https://thevdubfactory.com/collections/all/products/2pt-retract-seat-belt-blk-pr
43,2 PSI ALM RESIDUAL VALVE(1/8),$16.10,17-2932-0,https://thevdubfactory.com/collections/all/products/2psi-alm-residual-valve1-8
44,2 PSI ALUMINUM RESIDUAL VALVE,$19.04,17-2928-0,https://thevdubfactory.com/collections/all/products/2psi-alum-residual-valve
45,2 PSI RESIDUAL VALVE KIT,$24.92,17-2935-0,https://thevdubfactory.com/collections/all/products/2-psi-residual-valve-kit
46,2 SPOKE CHROME KNOCK-OFFS (4) 00-9620-0,$44.03,00-9620-0,https://thevdubfactory.com/collections/all/products/2-spoke-chr-knock-offs-4
47,"2 Tip Gt Exhaust, For 40Hp 1200cc VW Engines, Raw 00-3766-0",$138.11,00-3766-0,https://thevdubfactory.com/collections/all/products/2-tip-exh-t-1-40hp-1200-ea
48,"2"" BAR SLIDE FOR BELTS,PR  00-3923-0",$12.86,00-3923-0,https://thevdubfactory.com/collections/all/products/2-bar-slide-f-belts-pr
49,"2"" FLAT SNAP FOR BELTS,PR",$14.48,00-3922-0,https://thevdubfactory.com/collections/all/products/2-flat-snap-f-belts-pr
50,"2"" Narrowed Ball Joint Beam, With Adjusters",$355.67,22-2819-0,https://thevdubfactory.com/collections/all/products/narrow-beam-ball-joint
51,"2"" SHOULDER HARNESS TWIN MOUNT",$83.72,00-3906-0,https://thevdubfactory.com/collections/all/products/2-shoulder-harness-twin-mt
52,"2"" SHOULDER HARNESS Y-STYLE",$79.31,00-3905-0,https://thevdubfactory.com/collections/all/products/2-shoulder-harness-y-style
53,"2-BOLT PORT FLG 1 3/8"" (2)",$4.48,00-3510-0,https://thevdubfactory.com/collections/all/products/2-bolt-port-flg-1-3-8-2
54,2-HOLE GAUGE PANEL,$6.39,14-1007-0,https://thevdubfactory.com/collections/all/products/2-hole-gauge-panel
55,"2-TIP EXHAUST T1,C-COAT",$307.16,55-3418-0,https://thevdubfactory.com/collections/all/products/2-tip-exh-t1-c-coat
56,"200MM CLUTCH DISC RIGID,EA",$21.98,32-1245-B,https://thevdubfactory.com/collections/all/products/200mm-clutch-dsc-rigid-ea
57,200MM CLUTCH DSC RIGID HUB,$23.45,32-1245-0,https://thevdubfactory.com/collections/all/products/200mm-clutch-dsc-rigid-hub
58,"208BNE GASKET SET,T-2,1.7",$64.61,98-9206-B,https://thevdubfactory.com/collections/all/products/208bne-gasket-set-t-2-1-7
59,"23"" 60 TO 67 SPLIT BUS CLASSIC QUICK SHIFTER",$293.56,155-795-50SPT,https://thevdubfactory.com/collections/all/products/23-60-to-67-split-bus-classic-quick-shifter
60,"23"" LHD 68 TO 79 BAYWINDOW BUS CLASSIC SPORT QUICK SHIFTER",$293.56,155-795-50LHD,https://thevdubfactory.com/collections/all/products/23-lhd-68-to-79-baywindow-bus-classic-sport-quick-shifter
61,"23"" RHD 68 TO 79 BAYWINDOW BUS CLASSIC SPORT QUICK SHIFTER",$293.56,155-795-50RHD,https://thevdubfactory.com/collections/all/products/23-rhd-68-to-79-baywindow-bus-classic-sport-quick-shifter
62,"25.25"" BRAKE LINE,T-1 ALL,EA",$5.15,98-9618-B,https://thevdubfactory.com/collections/all/products/25-25-brake-line-t-1-all-ea
