,name,sku,price
0,Front Heater & A/C Fan Motor Blower & Alternative Rear A/C Blower Fan,251819015,59.95  
1,Heater Cable Clips,211255899A,2.90  
2,Fresh Air & Heater Control Mounting Tab,251259395,2.95  
3,Front or Rear Heater Fan Switch,171959511,13.95  
4,Air Duct / Vent,255259637,15.95  
5,Black Heater Vent on Dash Right Side,25581938401C,15.95  
6,Heater Cable-Passenger Compartment Vent,255259271,37.50  
7,A/C R134a Retrofit Kit,9008300001,54.50  
8,Folding Cup Holder With Articulating Arms,VCFOLDINGCUPBLACK,6.95  
9,Leather Steering Wheel Cover,VCSTRWHLCVR,49.95  
10,Westy Bravo Snap Pocket,WB-Snap-Pocket,55.00  
11,German Vanagon Rubber Floor Mats (BLACK),VCTWOPIECERUBBERMATBLK,74.95  
12,German Vanagon Rubber Floor Mats (GREY),VCTWOPIECERUBBERMATGRY,74.95  
13,Westy Bravo Zipper Pocket,WB-Zipper-Pocket,75.00  
14,3 Piece Front Rubber Floor Mats - Lloyd Mats,3836840RUBBER,95.90 Dropship Item! 
15,Rubber German Floor Mats Bonus Deal,VCMATBONUS,98.50  
16,Westy Center Section Rubber Floor Mat - Lloyd Mats,3836960RUBBER,119.50 Dropship Item! 
17,Ketzal Tool Roll-up Organizer,KETZALROLL,120.00  
18,3-Piece Front Ultimat Carpet Floor Mat Set - Lloyd Mats,3836840CARPET,120.00 Dropship Item! 
19,Westy Center Section Ultimat Carpet Floor Mat - Lloyd Mats,3836960CARPET,154.90 Dropship Item! 
20,Ketzal Seat Back Organizer,VCKETZALORGANIZER,175.00  
21,Westy Bravo Organizer,westybravo,185.00  
22,Carpet Kits,VCCARPETKITS,265.95  
23,Narrow Weave 9pc Carpet Set Charcoal LHD,251898002ACHA,495.00  
24,Narrow Weave 9pc Carpet Set Biscuit (Tan) LHD,251898002CBIS,525.00  
25,2WD Spare Tire Steering Shaft Protector,VCSTRSHAFTPRO2WD,69.95  
26,Oversized Spare Tire Carrier,RMW-TC-SPARE,89.95  
27,"7.5"" Zip Tie",7130K59,0.19  
28,Perma Seal Butt Connector 22-18ga.,30980,0.39  
29,Butt-less Electrical Connector 2 Hole,VCNOBUTTCONN2,1.45  
30,Butt-less Electrical Connector 3 Hole,VCNOBUTTCONN3,1.55  
31,Butt-less Electrical Connector 5 Hole,VCNOBUTTCONN5,1.65  
32,Auxiliary Power Outlet,181399,13.95  
33,Cigarette Lighter,VCCIGLIGHTER181407,15.95  
34,Double Auxiliary Power Outlet (Deep),15830508,19.50  
35,Dual USB Charger Socket,VCDUALUSBSOCKET,24.95  
36,[SHOEBOX ELECTRONIX Battery Saver Alarm],VCSHOEBOXBATTERYSAVER,39.95  
37,Voltminder,VCVOLTMINDER,44.95  
38,Dual USB Charger Square,VCDUALUSBSQUARE,47.95  
39,[SHOEBOX ELECTRONIX Soldering Toolkit],ecutoolkit,49.50  
